PF13606	17.2
PF13637	22.7
PF13857	27
PF24521	80
PF23745	27.5
PF21137	27
PF21336	27.2
PF03702	24
PF00191	25
PF18411	25
PF21397	28
PF04547	28
PF20877	27
PF16178	22
PF10731	27
PF00212	27
PF03452	28.8
PF03374	25.3
PF18280	27
PF08346	27
PF03861	27.3
PF07651	21.5
PF09156	25
PF03497	28.1
PF08592	27.3
PF05587	26.9
PF10796	23.2
PF11630	25
PF23023	27.8
PF11043	29.1
PF28820	27
PF15777	32
PF02522	25
PF08264	25.1
PF19269	23.6
PF19303	23.5
PF11410	22
PF11402	28.6
PF11641	25
PF16364	28.6
PF09255	25
PF24205	27
PF08105	25
PF08106	25
PF08107	22
PF08108	25
PF08109	22
PF08110	22.7
PF08129	25
PF08130	25
PF08225	19.4
PF08256	20.6
PF14861	27
PF16047	27
PF16048	25
PF16049	26
PF16839	27
PF31266	34.2
PF08018	21.2
PF08023	22
PF08025	25
PF08024	25
PF08026	25
PF08036	27
PF08102	25
PF08103	21.4
PF08104	25
PF03230	25
PF02822	21.2
PF03589	26.7
PF26044	27
PF20605	27.2
PF28400	27
PF05586	25
PF25633	27
PF15721	27
PF22293	27
PF03098	25
PF18678	25.9
PF01786	22.7
PF15001	30.7
PF15745	27
PF00847	33.3
PF22169	27
PF14796	27
PF24080	27
PF06375	28.2
PF19327	23.1
PF14807	27
PF21589	21.9
PF21590	21.9
PF21588	24.5
PF21587	21.2
PF17908	22.8
PF02558	22.2
PF08546	22.7
PF02424	25.6
PF05839	22
PF05841	25
PF21282	27
PF27555	27
PF27562	27
PF29300	27
PF18122	22.9
PF27564	27
PF20518	24
PF27563	27
PF21371	27
PF29567	29.3
PF14921	27
PF05972	19.4
PF27187	27
PF05956	25
PF16689	27.4
PF05923	19.9
PF18797	25
PF16634	26
PF16635	29.7
PF16636	27.5
PF16630	27
PF16633	25
PF16041	25
PF16040	27
PF30543	27
PF22753	27
PF18862	25.5
PF16977	26.5
PF31057	27
PF24148	27
PF19283	23.1
PF22818	27.7
PF15360	27
PF28660	27
PF22817	27
PF18946	20.8
PF04110	22.8
PF04111	34
PF17675	45
PF01636	23.2
PF06105	25.6
PF22173	27
PF14557	27
PF29298	27
PF04655	27
PF05918	27.4
PF00807	23.1
PF25839	24.7
PF25838	27
PF25837	27
PF13204	26.5
PF11671	25
PF21649	27
PF05355	22.1
PF05778	34.1
PF05418	23.4
PF04711	27
PF30436	32
PF30435	27
PF30433	27
PF30406	24
PF30444	27
PF30454	33.9
PF30460	29.2
PF12491	27
PF18769	27
PF18772	144
PF18782	27
PF18771	27
PF18775	27.2
PF18774	26.7
PF04691	28.3
PF15119	27
PF01333	30.4
PF16639	30
PF05461	25.9
PF27830	27
PF01442	12
PF15148	27
PF07464	36.3
PF11032	22
PF26365	27
PF09769	31.4
PF05634	25
PF09949	27.1
PF21961	28.5
